Station Name,Measurement Timestamp,Air Temperature
63rd Street Weather Station,06/26/2015 03:00:00 PM,17.10
63rd Street Weather Station,06/26/2015 04:00:00 PM,17.00
63rd Street Weather Station,06/26/2015 05:00:00 PM,16.70
63rd Street Weather Station,06/26/2015 06:00:00 PM,16.20
63rd Street Weather Station,06/26/2015 07:00:00 PM,16.40
63rd Street Weather Station,06/26/2015 08:00:00 PM,16.20
63rd Street Weather Station,06/26/2015 09:00:00 PM,16.40
63rd Street Weather Station,06/26/2015 10:00:00 PM,17.30
63rd Street Weather Station,06/26/2015 11:00:00 PM,16.60
63rd Street Weather Station,06/26/2015 12:00:00 AM,17.60
63rd Street Weather Station,06/27/2015 01:00:00 AM,16.50
63rd Street Weather Station,06/27/2015 02:00:00 AM,16.30
63rd Street Weather Station,06/27/2015 03:00:00 AM,16.90
63rd Street Weather Station,06/27/2015 04:00:00 AM,16.60
63rd Street Weather Station,06/27/2015 05:00:00 AM,16.60
63rd Street Weather Station,06/27/2015 06:00:00 AM,16.20
63rd Street Weather Station,06/27/2015 07:00:00 AM,16.10
63rd Street Weather Station,06/27/2015 08:00:00 AM,15.70
63rd Street Weather Station,06/27/2015 09:00:00 AM,15.80
63rd Street Weather Station,06/27/2015 10:00:00 AM,16.00
63rd Street Weather Station,06/27/2015 11:00:00 AM,16.40
63rd Street Weather Station,06/27/2015 12:00:00 PM,16.60
63rd Street Weather Station,06/27/2015 01:00:00 PM,17.00
63rd Street Weather Station,06/27/2015 02:00:00 PM,17.80
63rd Street Weather Station,06/27/2015 03:00:00 PM,18.10
63rd Street Weather Station,06/27/2015 04:00:00 PM,18.10
63rd Street Weather Station,06/27/2015 05:00:00 PM,18.90
63rd Street Weather Station,06/27/2015 06:00:00 PM,19.20
63rd Street Weather Station,06/27/2015 07:00:00 PM,17.90
63rd Street Weather Station,06/27/2015 08:00:00 PM,17.60
63rd Street Weather Station,06/27/2015 09:00:00 PM,18.20
63rd Street Weather Station,06/27/2015 10:00:00 PM,17.90
63rd Street Weather Station,06/27/2015 11:00:00 PM,18.40
63rd Street Weather Station,06/27/2015 12:00:00 AM,16.50
63rd Street Weather Station,06/28/2015 02:00:00 AM,16.40
63rd Street Weather Station,06/28/2015 03:00:00 AM,16.00
63rd Street Weather Station,06/28/2015 04:00:00 AM,15.60
63rd Street Weather Station,06/28/2015 05:00:00 AM,15.00
63rd Street Weather Station,06/28/2015 06:00:00 AM,15.50
63rd Street Weather Station,06/28/2015 07:00:00 AM,18.60
63rd Street Weather Station,06/28/2015 08:00:00 AM,19.90
63rd Street Weather Station,06/28/2015 09:00:00 AM,20.30
63rd Street Weather Station,06/28/2015 10:00:00 AM,18.90
63rd Street Weather Station,06/28/2015 11:00:00 AM,19.70
63rd Street Weather Station,06/28/2015 12:00:00 PM,20.50
63rd Street Weather Station,06/28/2015 01:00:00 PM,20.70
63rd Street Weather Station,06/28/2015 02:00:00 PM,21.10
63rd Street Weather Station,06/28/2015 03:00:00 PM,20.80
63rd Street Weather Station,06/28/2015 04:00:00 PM,20.90
63rd Street Weather Station,06/28/2015 05:00:00 PM,22.70
63rd Street Weather Station,06/28/2015 06:00:00 PM,22.90
63rd Street Weather Station,06/28/2015 07:00:00 PM,22.70
63rd Street Weather Station,06/28/2015 08:00:00 PM,22.80
63rd Street Weather Station,06/28/2015 09:00:00 PM,20.60
63rd Street Weather Station,06/28/2015 10:00:00 PM,20.30
63rd Street Weather Station,06/28/2015 11:00:00 PM,21.00
63rd Street Weather Station,06/28/2015 12:00:00 AM,18.20
63rd Street Weather Station,06/29/2015 01:00:00 AM,20.40
63rd Street Weather Station,06/29/2015 02:00:00 AM,20.10
63rd Street Weather Station,06/29/2015 03:00:00 AM,19.70
63rd Street Weather Station,06/29/2015 04:00:00 AM,19.50
63rd Street Weather Station,06/29/2015 05:00:00 AM,18.80
63rd Street Weather Station,06/29/2015 06:00:00 AM,18.80
63rd Street Weather Station,06/29/2015 07:00:00 AM,18.40
63rd Street Weather Station,06/29/2015 08:00:00 AM,18.50
63rd Street Weather Station,06/29/2015 09:00:00 AM,18.40
63rd Street Weather Station,06/29/2015 10:00:00 AM,18.80
63rd Street Weather Station,06/29/2015 11:00:00 AM,18.50
63rd Street Weather Station,06/29/2015 12:00:00 PM,18.50
63rd Street Weather Station,06/29/2015 01:00:00 PM,18.60
63rd Street Weather Station,06/29/2015 02:00:00 PM,19.40
63rd Street Weather Station,06/29/2015 03:00:00 PM,19.20
63rd Street Weather Station,06/29/2015 04:00:00 PM,19.20
63rd Street Weather Station,06/29/2015 05:00:00 PM,19.80
63rd Street Weather Station,06/29/2015 06:00:00 PM,18.90
63rd Street Weather Station,06/29/2015 07:00:00 PM,19.90
63rd Street Weather Station,06/29/2015 08:00:00 PM,19.20
63rd Street Weather Station,06/29/2015 09:00:00 PM,19.00
63rd Street Weather Station,06/29/2015 10:00:00 PM,19.80
63rd Street Weather Station,06/29/2015 11:00:00 PM,19.10
63rd Street Weather Station,06/29/2015 12:00:00 AM,20.80
63rd Street Weather Station,06/30/2015 01:00:00 AM,19.30
63rd Street Weather Station,06/30/2015 02:00:00 AM,19.30
