Station Name,Measurement Timestamp,Air Temperature,wind
63rd Street Weather Station,06/26/2015 04:00:00 AM,16.20,5.4
63rd Street Weather Station,06/26/2015 05:00:00 AM,15.50,6.3
63rd Street Weather Station,06/26/2015 06:00:00 AM,15.80,4.9
63rd Street Weather Station,06/26/2015 07:00:00 AM,16.20,2.7
63rd Street Weather Station,06/26/2015 08:00:00 AM,16.00,1.3
63rd Street Weather Station,06/26/2015 09:00:00 AM,16.80,1.8
63rd Street Weather Station,06/26/2015 10:00:00 AM,17.20,5.4
63rd Street Weather Station,06/26/2015 11:00:00 AM,17.50,4.5
63rd Street Weather Station,06/26/2015 12:00:00 PM,17.40,5.4
63rd Street Weather Station,06/26/2015 01:00:00 PM,17.30,5.4
63rd Street Weather Station,06/26/2015 02:00:00 PM,17.30,5.4
63rd Street Weather Station,06/26/2015 03:00:00 PM,17.10,4
63rd Street Weather Station,06/26/2015 04:00:00 PM,17.00,4.5
63rd Street Weather Station,06/26/2015 05:00:00 PM,16.70,3.1
63rd Street Weather Station,06/26/2015 06:00:00 PM,16.20,6.3
63rd Street Weather Station,06/26/2015 07:00:00 PM,16.40,3.1
63rd Street Weather Station,06/26/2015 08:00:00 PM,16.20,3.1
63rd Street Weather Station,06/26/2015 09:00:00 PM,16.40,3.1
63rd Street Weather Station,06/26/2015 10:00:00 PM,17.30,5.4
63rd Street Weather Station,06/26/2015 11:00:00 PM,16.60,5.8
63rd Street Weather Station,06/26/2015 12:00:00 AM,17.60,4.5
63rd Street Weather Station,06/27/2015 01:00:00 AM,16.50,3.6
63rd Street Weather Station,06/27/2015 02:00:00 AM,16.30,2.7
63rd Street Weather Station,06/27/2015 03:00:00 AM,16.90,7.6
63rd Street Weather Station,06/27/2015 04:00:00 AM,16.60,6.3
63rd Street Weather Station,06/27/2015 05:00:00 AM,16.60,6.3
63rd Street Weather Station,06/27/2015 06:00:00 AM,16.20,4.9
63rd Street Weather Station,06/27/2015 07:00:00 AM,16.10,4
63rd Street Weather Station,06/27/2015 08:00:00 AM,15.70,3.1
63rd Street Weather Station,06/27/2015 09:00:00 AM,15.80,2.2
